,inicio,varinicio,varfim,pt_v,id,vir,int,real,lit,leia,escreva,literal,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,facaAte,fimFaca,fim,eof
62,E1,E3,E6,E6,S49,E6,E6,E6,E6,E6,E6,E6,S50,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
63,E1,E3,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,S72,E6,E9,E18,E19,E6,E7
64,E1,E3,E6,R7,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
65,E1,E3,E6,R20,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
66,E1,E3,E6,E6,R33,E6,E6,E6,E6,R33,R33,E6,E6,E6,E6,R33,E6,E6,E8,E6,E9,R33,E19,R33,E7
67,E1,E3,E6,E6,S13,E6,E6,E6,E6,S11,S12,E6,E6,E6,E6,S16,E6,E6,E8,E6,E9,E18,S70,E6,E7
68,E1,E3,E6,E6,S13,E6,E6,E6,E6,S11,S12,E6,E6,E6,E6,S16,E6,E6,E8,E6,E9,E18,S70,E6,E7
69,E1,E3,E6,E6,S13,E6,E6,E6,E6,S11,S12,E6,E6,E6,E6,S16,E6,E6,E8,E6,E9,E18,S70,E6,E7
70,E1,E3,E6,E6,R37,E6,E6,E6,E6,R37,R37,E6,E6,E6,E6,R37,E6,E6,E8,E6,E9,R37,E19,R37,E7
71,E1,E3,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,R27,E8,E6,E9,E18,E19,E6,E7
72,E1,E3,E6,E6,R26,E6,E6,E6,E6,R26,R26,E6,E6,E6,E6,R26,E6,E6,E8,E6,R26,E18,E19,E6,E7
73,E1,E3,E6,E6,R34,E6,E6,E6,E6,R34,R34,E6,E6,E6,E6,R34,E6,E6,E8,E6,E9,R34,E19,R34,E7
74,E1,E3,E6,E6,R35,E6,E6,E6,E6,R35,R35,E6,E6,E6,E6,R35,E6,E6,E8,E6,E9,R35,E19,R35,E7
75,E1,E3,E6,E6,R36,E6,E6,E6,E6,R36,R36,E6,E6,E6,E6,R36,E6,E6,E8,E6,E9,R36,E19,R36,E7
